,Academic Year,Mobility Duration,Field of Education,Participant Country,Education Level,Participant Gender,Fewer Opportunities,Participant Age,Sending Country,Sending City,Sending Organization,Receiving Country,Receiving City,Receiving Organization
29908,2014,157,Engineering and engineering trades,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,-,26,Germany,Nordhausen,FACHHOCHSCHULE NORDHAUSEN FHN,Netherlands,ZWOLLE,Stichting Christelijke Hogeschool Windesheim
13857,2014,68,Veterinary,Bulgaria,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,23,Bulgaria,STARA ZAGORA,TRAKIYSKI UNIVERSITET,Poland,OLSZTYN,UNIWERSYTET WARMINSKO MAZURSKI W OLSZTYNIE
683090,2024,138,Political sciences and civics,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,20,Türkiye,Istanbul,FSMVU,Poland,DABROWA GORNICZA,WSB
616040,2017,283,Engineering and engineering trades,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,United Kingdom,BRISTOL,UNIVERSITY OF BRISTOL,Sweden,STOCKHOLM,KUNGLIGA TEKNISKA HOEGSKOLAN
437431,2023,250,Engineering and engineering trades,Lebanon,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,24,Lebanon,BEIRUT,USJ,France,Nantes,IMT Atlantique
252166,2018,91,Health,Italy,ISCED-8 - Third cycle / Doctoral or equivalent level (EQF-8),Female,No,31,Italy,MILANO,UNIVERSITA DEGLI STUDI DI MILANO,United Kingdom,LONDON,UNIVERSITY COLLEGE LONDON
392960,2017,141,Political sciences and civics,Czech Republic,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,24,Czech Republic,Prague,UNIVERZITA KARLOVA,Poland,Warszawa,UNIWERSYTET WARSZAWSKI
651593,2019,137,Electricity and energy,Latvia,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,Latvia,RIGA,RIGAS TEHNISKA UNIVERSITATE,Belgium,LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN
412089,2015,312,Business and administration,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,23,France,TALENCE,Groupe KEDGE Business School,United Kingdom,Milton Keynes,Brioche Pasquier UK
87885,2023,122,Environmental protection technology,Rwanda,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,1,27,Italy,BRESCIA,UNIBS,Slovenia,LJUBLJANA,UL
90126,2018,146,Pharmacy,Slovakia,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,22,Czech Republic,Brno,VETERINARNI UNIVERZITA BRNO,Belgium,LEUVEN,KATHOLIEKE UNIVERSITEIT LEUVEN
148835,2021,132,Sociology and cultural studies,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,Germany,BREMEN,UNIVERSITAET BREMEN,Norway,BERGEN,UNIVERSITETET I BERGEN
158669,2014,145,Personal services,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Netherlands,Enschede,STICHTING SAXION,Malta,Google,The General Soft Drinks Co. Ltd
101562,2016,172,Social work and counselling,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,-,22,Spain,Valladolid,UNIVERSIDAD DE VALLADOLID,Italy,PERUGIA,UNIVERSITA DEGLI STUDI DI PERUGIA
56634,2017,142,Biological and related sciences,Belgium,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Belgium,NAMUR,UNIVERSITE DE NAMUR ASBL,Sweden,UPPSALA,Uppsala universitet
186657,2020,149,Engineering and engineering trades,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,23,France,Saint-Etienne,Ecole Nationale Supérieure des Mines de Saint-Etienne,Spain,MADRID,UNIVERSIDAD POLITECNICA DE MADRID
231526,2024,131,Business and administration,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,26,Germany,MAINZ,MAINZ UNIVERSITY OF APPLIED SCIENCES,Sweden,KARLSTAD,Ku
447778,2018,111,Chemistry,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,22,Germany,ULM,UNIVERSITAET ULM,Sweden,GOETEBORG,GOETEBORGS UNIVERSITET
102401,2022,137,Law,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,20,Spain,SEVILLA,USE,Hungary,SZEGED,USZ
512621,2015,120,"Travel, tourism and leisure",Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,23,Turkey,Kastamonu,Kastamonu Üniversitesi,Portugal,Leiria,INSTITUTO POLITECNICO DE LEIRIA
654229,2018,300,Political sciences and civics,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Turkey,ISTANBUL,MARMARA UNIVERSITY,France,LILLE,UNIVERSITE DE LILLE
142704,2021,125,Sports,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,24,Germany,KIEL,CHRISTIAN-ALBRECHTS-UNIVERSITAET  ZU KIEL,Norway,Oslo,NORGES IDRETTSHOGSKOLE
429935,2016,300,Languages,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Yes,20,Spain,CERDANYOLA BARCELONA,UNIVERSITAT AUTONOMA DE BARCELONA,Belgium,MONS,UNIVERSITE DE MONS
483926,2016,149,Law,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,20,Italy,Perugia,UNIVERSITA DEGLI STUDI DI PERUGIA,Germany,MUENSTER,WESTFAELISCHE WILHELMS-UNIVERSITAET MUENSTER
107036,2014,109,"Business, administration and law",France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,France,POITIERS CEDEX,UNIVERSITE DE POITIERS,Spain,BARCELONE,BLUE WATER SHIPPING
168914,2023,152,Business and administration,Austria,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Austria,Vienna,WU,Norway,Bergen,The Norwegian School of Economics
398680,2022,83,Medicine,Ireland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,23,Ireland,GALWAY,University of Galway,France,MONTPELLIER,UNIVERSITE DE MONTPELLIER
591687,2018,87,Agriculture,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,France,ANGERS CEDEX 1,ASS GROUPE ECOLE SUPERIEURE AGRICULTURE,United Kingdom,Woolpit,Limagrain
35948,2021,285,Information and Communication Technologies (ICTs),France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,21,France,Marseille Cedex 07,AMU,Sweden,Uppsala,UU
595939,2018,114,Physical sciences,Lithuania,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,28,Lithuania,VILNIUS,Vilniaus universitetas,France,ORSAY CEDEX,UNIVERSITE PARIS-SUD
475416,2022,140,Economics,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,22,Netherlands,MAASTRICHT,-,France,Lille,Université Catholique de Lille (FUPL)
458580,2022,177,Pharmacy,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,23,Italy,NAPOLI,UNIVERSITA DEGLI STUDI DI NAPOLI FEDERICO II.,Spain,BARCELONA,UNIVERSITAT DE BARCELONA
190802,2023,61,Information and Communication Technologies (ICTs),Bulgaria,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,25,Bulgaria,SOFIA,-,Spain,Malaga,-
504684,2023,141,Literature and linguistics,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,22,Italy,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,United Kingdom,COVENTRY,-
275713,2020,168,Sports,Brazil,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,23,Portugal,LISBOA,"Universidade Europeia - ENSILIS - Educação e Formação, Unipessoal LDA",Spain,VILLAVICIOSA,"UNIVERSIDAD EUROPEA DE MADRID, SAU"
177245,2015,170,Chemical engineering and processes,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,No,26,Italy,TRENTO,UNIVERSITA DEGLI STUDI DI TRENTO,Netherlands,EINDHOVEN,TECHNISCHE UNIVERSITEIT EINDHOVEN
310309,2016,178,Management and administration,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,United Kingdom,BELFAST,THE QUEEN'S UNIVERSITY OF BELFAST,France,Jouy en Josas,HEC Paris
204983,2022,166,Biology,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,1,26,Italy,MODENA,UNIMORE,Spain,SEVILLA,USE
308970,2017,151,Political sciences and civics,Sweden,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,24,Sweden,GOETEBORG,GOETEBORGS UNIVERSITET,Czech Republic,Prague,Business Sweden in Prague
845860,2023,30,History and archaeology,Slovakia,ISCED-8 - Third cycle / Doctoral or equivalent level (EQF-8),Male,0,26,Slovakia,NITRA,-,Hungary,Pécs,-
283796,2021,101,Social and behavioural sciences,Sweden,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,25,Sweden,LUND,Lunds universitet,Germany,DORTMUND,ISM International School of Management GmbH - Gemeinnuetzige Gesellschaft
210707,2023,140,Building and civil engineering,Czechia,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,24,Czechia,BRNO STRED,BRNO UNIVERSITY OF TECHNOLOGY,Sweden,LULEA,LTU
284977,2020,120,Political sciences and civics,Slovenia,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,22,Slovenia,LJUBLJANA,UNIVERZA V LJUBLJANI,Denmark,KOPENHAGEN,EMBASSY OF THE REPUBLIC OF SLOVENIA COPENHAGEN
448652,2022,239,Social and behavioural sciences,Ireland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Ireland,DUBLIN,DCU,France,LYON CEDEX 08,UJML 3
154625,2022,77,Food processing,France,ISCED-5 - Short cycle within the first cycle / Short-cycle tertiary education (EQF-5),Male,0,20,France,LA ROCHE SUR FORON,ENILV,Nepal,DHULILHEL,-
143299,2017,119,Literature and linguistics,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Spain,PALMA DE MALLORCA,UNIVERSITAT DE LES ILLES BALEARS,Ireland,Galway,"NATIONAL UNIVERSITY OF IRELAND, GALWAY"
368358,2016,283,Engineering and engineering trades,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,23,Germany,Aachen,RHEINISCH-WESTFAELISCHE TECHNISCHE HOCHSCHULE AACHEN,Spain,Barcelona,UNIVERSITAT POLITECNICA DE CATALUNYA
144915,2021,87,Engineering and engineering trades,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,22,France,Lille,-,Belgium,HERSTAL,-
318107,2017,161,Business and administration,Slovakia,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,22,Slovakia,BRATISLAVA,UNIVERZITA KOMENSKEHO V BRATISLAVE,Norway,Bergen,Norges Handelshøyskole
443972,2022,60,Veterinary,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,26,Italy,TORINO,UNIVERSITA DEGLI STUDI DI TORINO,Switzerland,Manno,-
59905,2014,124,Law,Estonia,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,25,Estonia,TARTU,TARTU ULIKOOL,Netherlands,Tilburg,STICHTING KATHOLIEKE UNIVERSITEIT BRABANT UNIVERSITEIT VAN TILBURG
164507,2022,137,"Fashion, interior and industrial design",Belgium,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,21,Belgium,Antwerpen,UANTWERPEN,Portugal,PORTO,PPORTO
417687,2015,272,Political sciences and civics,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,France,Paris,INSTITUT D'ETUDES POLITIQUES DE PARIS,Germany,BERLIN,Freie Universitaet Berlin
242865,2023,102,"Textiles (clothes, footwear and leather)",Denmark,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,23,Denmark,KOBENHAVN,UNIVERSITY COLLEGE COPENHAGEN,France,PARIS,-
288940,2021,152,Electricity and energy,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,22,Turkey,Eskişehir,ESKISEHIR OSMANGAZI UNIVERSITESI,Lithuania,Vilnius,Vilniaus Gedimino technikos universitetas
439754,2015,292,Social and behavioural sciences,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,-,21,Italy,Roma,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA,Germany,BERLIN,HUMBOLDT-UNIVERSITAET ZU BERLIN
166526,2019,151,Information and Communication Technologies (ICTs),Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,Spain,Barcelona,UNIVERSITAT POLITECNICA DE CATALUNYA,Finland,LAPPEENRANTA,LAPPEENRANNAN-LAHDEN TEKNILLINEN YLIOPISTO LUT
391859,2022,159,Law,Greece,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,20,Greece,THESSALONIKI,ARISTOTLE UNIVERSITY OF THESSALONIKI,Austria,Graz,UNI GRAZ
103471,2022,7,Computer use,Poland,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,23,Poland,POZNAN,POLITECHNIKA POZNANSKA,Belgium,MONS,UMONS
103651,2014,251,Electricity and energy,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,-,19,France,Saint-Etienne,UNIVERSITE JEAN MONNET SAINT-ETIENNE,Ireland,Tralee,INSTITUTE OF TECHNOLOGY TRALEE
604842,2017,287,Political sciences and civics,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,Turkey,Istanbul,GALATASARAY UNIVERSITY,Spain,CERDANYOLA BARCELONA,UNIVERSITAT AUTONOMA DE BARCELONA
603030,2021,91,Biological and related sciences,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,???,23,Italy,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA,Denmark,Aarhus,AARHUS UNIVERSITET
947282,2024,143,Political sciences and civics,Hungary,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Slovakia,BRATISLAVA,UK BA,Hungary,Budapest,Milton Friedman Egyetem
586431,2019,129,Sports,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,18,France,Chambery et Annecy,UNIVERSITE SAVOIE MONT BLANC,Norway,Oslo,NORGES IDRETTSHOGSKOLE
638979,2018,148,Humanities (except languages),Sweden,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,24,Sweden,LUND,Lunds universitet,Italy,ROMA,UNIVERSITA DEGLI STUDI DI ROMA LA SAPIENZA
526845,2015,280,Languages,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,Yes,20,United Kingdom,MANCHESTER,THE UNIVERSITY OF MANCHESTER,Spain,ALMERIA,UNIVERSIDAD DE ALMERIA
176164,2017,165,Arts,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,22,France,GRENOBLE,Ecole supérieure d'art et design Grenoble Valence,United Kingdom,KINGSTON UPON THAMES,KINGSTON UNIVERSITY HIGHER EDUCATION CORPORATION
586208,2022,120,Environmental protection technology,Türkiye,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Türkiye,MASLAK ISTANBUL,ITU,Poland,CZESTOCHOWA,PCz
653536,2024,7,Engineering and engineering trades,Sweden,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,33,Sweden,STOCKHOLM,KUNGLIGA TEKNISKA HOEGSKOLAN,Spain,VALENCIA,UPV
445976,2022,317,Language acquisition,Hungary,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Hungary,Budapest,EOTVOS LORAND TUDOMANYEGYETEM,Netherlands,Groningen,-
373390,2018,131,Teacher training with subject specialization,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Turkey,ANTAKYA HATAY,Mustafa Kemal University,Poland,LEGNICA,PANSTWOWA WYZSZA SZKOLA ZAWODOWA IM. WITELONA W LEGNICY
184026,2022,32,Engineering and engineering trades,Czechia,ISCED-8 - Third cycle / Doctoral or equivalent level (EQF-8),Female,0,26,Czechia,OSTRAVA PORUBA,TECHNICAL UNIVERSITY OF OSTRAVA,Italy,Milan,-
538134,2024,96,Business and administration,India,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,24,Latvia,RIGA,-,France,Paris,-
121992,2017,131,Business and administration,Greece,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,Greece,PIRAEUS,UNIVERSITY OF PIRAEUS RESEARCH CENTER,Czech Republic,PARDUBICE,UNIVERZITA PARDUBICE
412395,2015,146,Marketing and advertising,Viet Nam,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,-,23,France,Chamb?ry et Annecy,UNIVERSITE SAVOIE MONT BLANC,Italy,Trento,UNIVERSITA DEGLI STUDI DI TRENTO
231158,2014,62,Languages,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,-,20,United Kingdom,Leeds,UNIVERSITY OF LEEDS,France,Paris,Delfinet
367828,2022,110,Services,Germany,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,1,24,Germany,STUTTGART,HFT,Finland,HELSINKI,METROPOLIA
171671,2017,88,Marketing and advertising,France,ISCED-5 - Short-cycle within the first cycle / Short-cycle tertiary education (EQF-5),Male,No,18,France,PARIS,LYCEE TECHNOLOGIQUE  EMILE DUBOIS,United Kingdom,Stirling SCOTLAND,Global Voices
569499,2016,146,Political sciences and civics,United Kingdom,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,United Kingdom,SOUTHAMPTON,UNIVERSITY OF SOUTHAMPTON,Denmark,KOBENHAVN,KOBENHAVNS UNIVERSITET
137359,2015,123,"Fashion, interior and industrial design",France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,23,France,PARIS,SAS Académie Julian Rive Gauche,United Kingdom,EDINBURGH,EDINBURGH NAPIER UNIVERSITY
542495,2023,60,Dental studies,Türkiye,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,21,North Macedonia,Skopje,INTERNATIONAL BALKAN UNIVERSITY,Germany,Köln,-
412774,2016,300,Physics,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,Spain,BARCELONA,UNIVERSITAT DE BARCELONA,Finland,HELSINKY,HELSINGIN YLIOPISTO
517639,2016,114,Business and administration,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,Netherlands,Rotterdam,ERASMUS UNIVERSITEIT ROTTERDAM,Germany,Vallendar,WHU - Otto Beisheim School of Management
169435,2023,120,Education,Austria,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,24,Austria,WIEN,PH WIEN,Germany,BERLIN,Freie Universitaet Berlin
365174,2023,7,Therapy and rehabilitation,Finland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Finland,PORI,SAMK,Spain,POZUELO DE ALARCON,UNIVERSIDAD FRANCISCO DE VITORIA
498276,2022,152,Literature and linguistics,Pakistan,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,24,Türkiye,Aksaray,AKSARAY UNIVERSITESI,Lithuania,KAUNAS,VMU
455345,2016,278,Information and Communication Technologies (ICTs),France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,21,France,NANCY CEDEX,UNIVERSITE DE LORRAINE,Sweden,LINKOPING,LINKOPINGS UNIVERSITET
204263,2023,135,Social work and counselling,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,22,Germany,POTSDAM,-,Belgium,GEEL,Thomas More
554176,2017,136,Engineering and engineering trades,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Netherlands,TILBURG,STICHTING AVANS,Spain,don't know,Fundación Universitaria San Antonio
53060,2021,144,Economics,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,27,Germany,JENA,FSU JENA,Italy,TORINO,UNIVERSITA DEGLI STUDI DI TORINO
374488,2015,94,Business and administration,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,22,Spain,CIUDAD REAL,UNIVERSIDAD DE CASTILLA - LA MANCHA,United Kingdom,Manchester,SPANELI LTD
94971,2018,181,Business and administration,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,23,Germany,HAMBURG,HOCHSCHULE FUR ANGEWANDTE WISSENSCHAFTEN HAMBURG,Netherlands,Amsterdam,Paylogic Nederland B.V.
722877,2023,271,Political sciences and civics,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,1,20,Spain,Murcia,UNIVERSIDAD DE MURCIA,France,LILLE,-
288878,2020,129,"Social sciences, journalism and information",Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,22,Turkey,Eskişehir,ESKISEHIR OSMANGAZI UNIVERSITESI,The Republic of North Macedonia,Skopje,INTERNATIONAL BALKAN UNIVERSITY
342631,2023,135,Engineering and engineering trades,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,1,21,Spain,VALENCIA,UPV,France,VILLENEUVE D ASCQ,-
545656,2017,143,"Travel, tourism and leisure",Lithuania,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,Lithuania,VILNIUS,MYKOLO ROMERIO UNIVERSITETAS,Croatia,PULA,SVEUCILISTE JURJA DOBRILE U PULI
480135,2015,110,Languages,Poland,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,Yes,24,Poland,WROCLAW,UNIWERSYTET WROCLAWSKI,France,MONTPELLIER CEDEX 5,UNIVERSITE MONTPELLIER III PAUL VALERY
20266,2014,128,Business and administration,Czech Republic,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,-,24,Czech Republic,Prague,VYSOKA SKOLA EKONOMICKA V PRAZE,France,Paris,Institut d&apos;Etudes Politiques de Paris
679261,2023,132,Political sciences and civics,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,1,21,Germany,Berlin,Freie Universitaet Berlin,Denmark,København,UCPH
13816,2021,231,Pharmacy,Spain,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,0,21,Spain,Madrid,UNIVERSIDAD COMPLUTENSE DE MADRID,Italy,Messina,UNIVERSITA DEGLI STUDI DI MESSINA
204985,2020,117,Business and administration,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,20,France,Paris,ASS EUROPEAN BUSINESS SCHOOL,Spain,MADRID,UNIVERSIDAD COMPLUTENSE DE MADRID
369540,2016,104,Business and administration,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,23,Germany,ERLANGEN,FRIEDRICH-ALEXANDER-UNIVERSITAET ERLANGEN NUERNBERG,France,MONTPELLIER,UNIVERSITE MONTPELLIER I
75976,2016,162,Business and administration,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,23,Germany,Frankfurt (Oder),STIFTUNG EUROPA-UNIVERSITAT VIADRINA FRANKFURT (ODER),Spain,Madrid,UNIVERSIDAD EUROPEA DE MADRID SL
424048,2024,135,Engineering and engineering trades,France,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,20,France,Bourges,INSA CENTRE VAL DE LOIRE,Italy,Trento,-
367054,2019,131,Psychology,Turkey,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Turkey,ANTALYA,AKDENIZ UNIVERSITY,Germany,Heidelberg,PADAGOGISCHE HOCHSCHULE HEIDELBERG
487983,2016,131,Biology,Italy,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,25,Italy,CAMERINO,UNIVERSITA DEGLI STUDI DI CAMERINO,United Kingdom,COLERAINE,UNIVERSITY OF ULSTER
936031,2024,150,Food processing,Romania,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,0,19,Romania,BUCAREST,USAMV BUCURESTI,Poland,WROCLAW,WROCLAW UNIVERSITY OF ENVIRONMENTAL AND LIFE SCIENCES
554530,2017,112,Business and administration,Netherlands,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,19,Netherlands,Groningen,HANZEHOGESCHOOL GRONINGEN STICHTING,France,PARIS,MBA INSTITUTE
381878,2016,121,Business and administration,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,22,Germany,WILHELMSHAVEN,JADE HOCHSCHULE WILHELMSHAVEN/OLDENBURG/ELSFLETH,Norway,OSLO,OSLOMET - STORBYUNIVERSITETET
23038,2014,167,Medicine,Germany,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Male,No,24,Germany,LUBECK,UNIVERSITAT ZU LUBECK,Spain,SANTANDER,UNIVERSIDAD DE CANTABRIA
316502,2018,137,Business and administration,Poland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,20,Poland,WARSZAWA,POLITECHNIKA WARSZAWSKA,Croatia,Šibenik,Veleuciliste u Sibeniku
161725,2021,120,Psychology,Croatia,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,0,23,Croatia,ZAGREB,UNIVERSITY OF ZAGREB UNIZG,Spain,JAEN,-
48355,2016,145,"Fashion, interior and industrial design",Belgium,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,Yes,19,Belgium,Brussels,Haute Ecole Francisco Ferrer,Spain,Barcelona,"Escuela Superior de Diseño y Moda, S.L."
185238,2022,139,Social and behavioural sciences,Czechia,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Male,0,23,Czechia,PRAHA 3,VISOKA SKOLA EMPIRICA,Sweden,STOCKHOLM,-
314281,2018,111,Management and administration,Ukraine,ISCED-7 - Second cycle / Master’s or equivalent level (EQF-7),Female,No,21,Poland,RADOM,WYZSZA SZKOLA HANDLOWA,Cyprus,450 PROTARA CAVO GRECO AVENUE,A.C. ANEZEON CORPORATION LTD
655620,2019,120,Arts,France,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,19,Netherlands,GRONINGEN,RIJKSUNIVERSITEIT GRONINGEN,Italy,BOLOGNA,ALMA MATER STUDIORUM - UNIVERSITA DI BOLOGNA
588738,2018,129,Economics,Italy,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,21,Italy,TORINO,UNIVERSITA DEGLI STUDI DI TORINO,France,Paris,UNIVERSITE PARIS II PANTHEON ASSAS
428134,2015,123,Language acquisition,Ireland,ISCED-6 - First cycle / Bachelor’s or equivalent level (EQF-6),Female,No,23,Ireland,LIMERICK,UNIVERSITY OF LIMERICK,France,RENNES CEDEX,UNIVERSITE RENNES II HAUTE BRETAGNE
